char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
「	U+300C	0xF040	1x1,1x2	1623	chunk_0001	0	1560	provisional
鸣	U+9E23	0xF041	1x1,1x2	143	chunk_0001	0	137	provisional
人	U+4EBA	0xF042	1x1,1x2	678	chunk_0001	0	620	provisional
！	U+FF01	0xF043	1x1,1x2	2711	chunk_0001	0	1575	provisional
攻	U+653B	0xF044	1x1,1x2	146	chunk_0001	0	101	provisional
击	U+51FB	0xF045	1x1,1x2	188	chunk_0001	0	122	provisional
就	U+5C31	0xF046	1x1,1x2	320	chunk_0001	0	302	provisional
由	U+7531	0xF047	1x1,1x2	24	chunk_0001	0	24	provisional
我	U+6211	0xF048	1x1,1x2	472	chunk_0001	0	440	provisional
来	U+6765	0xF049	1x1,1x2	348	chunk_0001	0	323	provisional
教	U+6559	0xF04A	1x1,1x2	17	chunk_0001	0	15	provisional
你	U+4F60	0xF04B	1x1,1x2	417	chunk_0001	0	390	provisional
」	U+300D	0xF04C	1x1,1x2	1773	chunk_0001	0	1706	provisional
轮	U+8F6E	0xF04D	1x1,1x2	24	chunk_0001	0	22	provisional
到	U+5230	0xF04E	1x1,1x2	222	chunk_0001	0	209	provisional
自	U+81EA	0xF04F	1x1,1x2	99	chunk_0001	0	89	provisional
己	U+5DF1	0xF050	1x1,1x2	51	chunk_0001	0	50	provisional
时	U+65F6	0xF051	1x1,1x2	185	chunk_0001	0	142	provisional
会	U+4F1A	0xF052	1x1,1x2	271	chunk_0001	0	257	provisional
显	U+663E	0xF053	1x1,1x2	7	chunk_0001	0	7	provisional
示	U+793A	0xF054	1x1,1x2	7	chunk_0001	0	7	provisional
指	U+6307	0xF055	1x1,1x2	36	chunk_0001	0	34	provisional
令	U+4EE4	0xF056	1x1,1x2	35	chunk_0001	0	27	provisional
触	U+89E6	0xF057	1x1,1x2	15	chunk_0001	0	11	provisional
摸	U+6478	0xF058	1x1,1x2	16	chunk_0001	0	11	provisional
选	U+9009	0xF059	1x1,1x2	50	chunk_0001	0	39	provisional
择	U+62E9	0xF05A	1x1,1x2	42	chunk_0001	0	33	provisional
，	U+FF0C	0xF05B	1x1,1x2	1039	chunk_0001	0	887	provisional
再	U+518D	0xF05C	1x1,1x2	69	chunk_0001	0	66	provisional
确	U+786E	0xF05D	1x1,1x2	32	chunk_0001	0	24	provisional
定	U+5B9A	0xF05E	1x1,1x2	165	chunk_0001	0	116	provisional
也	U+4E5F	0xF05F	1x1,1x2	217	chunk_0001	0	206	provisional
能	U+80FD	0xF060	1x1,1x2	338	chunk_0001	0	244	provisional
用	U+7528	0xF061	1x1,1x2	321	chunk_0001	0	247	provisional
十	U+5341	0xF062	1x1,1x2	9	chunk_0001	0	8	provisional
字	U+5B57	0xF063	1x1,1x2	42	chunk_0001	0	37	provisional
键	U+952E	0xF064	1x1,1x2	30	chunk_0001	0	23	provisional
按	U+6309	0xF065	1x1,1x2	33	chunk_0001	0	29	provisional
Ａ	U+FF21	0xF066	1x1,1x2	6	chunk_0001	0	4	provisional
后	U+540E	0xF067	1x1,1x2	147	chunk_0001	0	127	provisional
想	U+60F3	0xF068	1x1,1x2	80	chunk_0001	0	78	provisional
的	U+7684	0xF069	1x1,1x2	1498	chunk_0001	0	1181	provisional
敌	U+654C	0xF06A	1x1,1x2	264	chunk_0001	0	236	provisional
