char	unicode_hex	count	display
 	U+0020	209	SPACE
!	U+0021	25	!
"	U+0022	14	"
#	U+0023	9	#
$	U+0024	12	$
%	U+0025	7	%
&	U+0026	5	&
'	U+0027	4	'
(	U+0028	8	(
)	U+0029	4	)
*	U+002A	7	*
+	U+002B	21	+
,	U+002C	36	,
-	U+002D	79	-
.	U+002E	328	.
/	U+002F	10	/
0	U+0030	80	0
1	U+0031	286	1
2	U+0032	41	2
3	U+0033	29	3
4	U+0034	20	4
5	U+0035	28	5
6	U+0036	16	6
7	U+0037	4	7
8	U+0038	12	8
9	U+0039	6	9
:	U+003A	6	:
;	U+003B	1	;
<	U+003C	14	<
>	U+003E	4	>
@	U+0040	9	@
A	U+0041	14	A
B	U+0042	7	B
D	U+0044	26	D
E	U+0045	2	E
F	U+0046	77	F
H	U+0048	2	H
I	U+0049	5	I
J	U+004A	3	J
L	U+004C	9	L
M	U+004D	3	M
N	U+004E	5	N
O	U+004F	1	O
P	U+0050	15	P
Q	U+0051	4	Q
R	U+0052	3	R
S	U+0053	28	S
T	U+0054	4	T
U	U+0055	14	U
V	U+0056	5	V
W	U+0057	71	W
X	U+0058	3	X
Y	U+0059	1	Y
Z	U+005A	18	Z
\	U+005C	6	\
^	U+005E	4	^
`	U+0060	3	`
b	U+0062	2	b
d	U+0064	2	d
e	U+0065	2	e
f	U+0066	3	f
h	U+0068	5	h
i	U+0069	143	i
j	U+006A	3	j
l	U+006C	3	l
m	U+006D	1	m
n	U+006E	3	n
o	U+006F	1	o
p	U+0070	4	p
r	U+0072	3	r
t	U+0074	1	t
u	U+0075	4	u
v	U+0076	4	v
x	U+0078	7	x
z	U+007A	8	z
|	U+007C	6	|
~	U+007E	5	~
