id	component	source_file	offset	raw_len	slot_len	raw_hex	jp_text	jp_key	zh_text	translation_source	encoded_hex	encoded_len	capacity_delta	missing_chars	status	notes
menu_overlay_0000_02F6AC	overlay_0000	overlay/overlay_0000.bin	0x2F6AC	14	16	83 47 83 89 81 5B 83 52 81 5B 83 68 81 40	エラーコード　	エラーコード	错误代码	local_menu_dictionary	90 7B 97 E2 92 78 93 76	8	8		ready	
menu_overlay_0000_02FC94	overlay_0000	overlay/overlay_0000.bin	0x2FC94	14	16	82 BD 82 A2 82 B9 82 F1 83 6C 81 5B 83 80	たいせんネーム	たいせんネーム	对战名称	local_menu_dictionary	90 C1 90 DB 94 5F 95 8B	8	8		ready	
menu_overlay_0000_02FCA4	overlay_0000	overlay/overlay_0000.bin	0x2FCA4	6	8	82 A0 82 F1 82 D4	あんぶ	あんぶ	暗部	local_menu_dictionary	94 6C 93 46	4	4		ready	
menu_overlay_0000_02FCAC	overlay_0000	overlay/overlay_0000.bin	0x2FCAC	4	8	83 6C 83 57	ネジ	ネジ	宁次	local_menu_dictionary	91 F3 90 75	4	4		ready	
menu_overlay_0000_02FCB4	overlay_0000	overlay/overlay_0000.bin	0x2FCB4	4	8	83 4C 83 6F	キバ	キバ	牙	local_menu_dictionary	91 DC	2	6		ready	
menu_overlay_0000_02FCBC	overlay_0000	overlay/overlay_0000.bin	0x2FCBC	4	8	89 8E 96 82	猿魔	猿魔	猿魔	local_menu_dictionary	92 7C 99 BE	4	4		ready	
menu_overlay_0000_02FCC4	overlay_0000	overlay/overlay_0000.bin	0x2FCC4	4	8	8E E7 92 DF	守鶴	守鶴	守鹤	local_menu_dictionary	94 A8 92 BC	4	4		ready	
menu_overlay_0000_02FCCC	overlay_0000	overlay/overlay_0000.bin	0x2FCCC	4	8	83 4B 83 43	ガイ	ガイ	阿凯	local_menu_dictionary	95 5F 92 4E	4	4		ready	
menu_overlay_0000_02FCD4	overlay_0000	overlay/overlay_0000.bin	0x2FCD4	4	8	83 8A 81 5B	リー	リー	小李	local_menu_dictionary	91 94 91 F1	4	4		ready	
menu_overlay_0000_02FCDC	overlay_0000	overlay/overlay_0000.bin	0x2FCDC	4	8	83 6E 83 4E	ハク	ハク	白	local_menu_dictionary	91 47	2	6		ready	
menu_overlay_0000_02FCE4	overlay_0000	overlay/overlay_0000.bin	0x2FCE4	4	8	83 56 83 6D	シノ	シノ	志乃	local_menu_dictionary	91 EA 91 EB	4	4		ready	
menu_overlay_0000_02FCEC	overlay_0000	overlay/overlay_0000.bin	0x2FCEC	4	8	82 A2 82 CC	いの	いの	井野	local_menu_dictionary	91 D4 91 D5	4	4		ready	
menu_overlay_0000_02FCF4	overlay_0000	overlay/overlay_0000.bin	0x2FCF4	6	8	83 4B 83 41 83 89	ガアラ	ガアラ	我爱罗	local_menu_dictionary	90 49 91 F8 91 F9	6	2		ready	
menu_overlay_0000_02FCFC	overlay_0000	overlay/overlay_0000.bin	0x2FCFC	6	8	83 55 83 75 83 55	ザブザ	ザブザ	再不斩	local_menu_dictionary	90 61 91 50 92 59	6	2		ready	
menu_overlay_0000_02FD04	overlay_0000	overlay/overlay_0000.bin	0x2FD04	6	8	82 BD 82 A9 82 A2	たかい	たかい	高	local_menu_dictionary	90 A8	2	6		ready	
menu_overlay_0000_02FD0C	overlay_0000	overlay/overlay_0000.bin	0x2FD0C	6	8	83 43 83 8B 83 4A	イルカ	イルカ	伊鲁卡	local_menu_dictionary	91 D0 92 55 92 48	6	2		ready	
menu_overlay_0000_02FD14	overlay_0000	overlay/overlay_0000.bin	0x2FD14	6	8	83 54 83 4E 83 89	サクラ	サクラ	小樱	local_menu_dictionary	91 94 91 BF	4	4		ready	
menu_overlay_0000_02FD1C	overlay_0000	overlay/overlay_0000.bin	0x2FD1C	6	8	82 D3 82 C2 82 A4	ふつう	ふつう	普通	local_menu_dictionary	98 72 90 FC	4	4		ready	
menu_overlay_0000_02FD24	overlay_0000	overlay/overlay_0000.bin	0x2FD24	6	8	83 4B 83 7D 92 89	ガマ忠	ガマ忠	蛤蟆忠	local_menu_dictionary	95 BE 95 BF 92 6D	6	2		ready	
menu_overlay_0000_02FD2C	overlay_0000	overlay/overlay_0000.bin	0x2FD2C	6	8	83 4B 83 7D 97 B3	ガマ竜	ガマ竜	蛤蟆龙	local_menu_dictionary	95 BE 95 BF 91 8C	6	2		ready	
menu_overlay_0000_02FD34	overlay_0000	overlay/overlay_0000.bin	0x2FD34	6	8	8E 4F 91 E3 96 DA	三代目	三代目	三代目	local_menu_dictionary	92 77 92 78 92 79	6	2		ready	
menu_overlay_0000_02FD3C	overlay_0000	overlay/overlay_0000.bin	0x2FD3C	6	8	83 65 83 7D 83 8A	テマリ	テマリ	手鞠	local_menu_dictionary	91 67 91 FC	4	4		ready	
menu_overlay_0000_02FD44	overlay_0000	overlay/overlay_0000.bin	0x2FD44	6	8	83 69 83 8B 83 67	ナルト	ナルト	鸣人	local_menu_dictionary	90 41 90 42	4	4		ready	
menu_overlay_0000_02FD4C	overlay_0000	overlay/overlay_0000.bin	0x2FD4C	6	8	83 4B 83 7D 8B 67	ガマ吉	ガマ吉	蛤蟆吉	local_menu_dictionary	95 BE 95 BF 92 EE	6	2		ready	
menu_overlay_0000_02FD54	overlay_0000	overlay/overlay_0000.bin	0x2FD54	6	8	83 71 83 69 83 5E	ヒナタ	ヒナタ	雏田	local_menu_dictionary	91 E2 91 E4	4	4		ready	
menu_overlay_0000_02FD5C	overlay_0000	overlay/overlay_0000.bin	0x2FD5C	6	8	82 BD 82 A9 82 A2	たかい	たかい	高	local_menu_dictionary	90 A8	2	6		ready	
menu_overlay_0000_02FD64	overlay_0000	overlay/overlay_0000.bin	0x2FD64	6	8	83 4A 83 63 83 86	カツユ	カツユ	蛞蝓	local_menu_dictionary	99 46 96 87	4	4		ready	
menu_overlay_0000_02FD6C	overlay_0000	overlay/overlay_0000.bin	0x2FD6C	6	8	94 AA 94 45 8C A2	八忍犬	八忍犬	八忍犬	local_menu_dictionary	92 C0 90 C6 91 DA	6	2		ready	
menu_overlay_0000_02FD74	overlay_0000	overlay/overlay_0000.bin	0x2FD74	6	8	82 D0 82 AD 82 A2	ひくい	ひくい	低	local_menu_dictionary	90 AE	2	6		ready	
menu_overlay_0000_02FD7C	overlay_0000	overlay/overlay_0000.bin	0x2FD7C	6	8	83 43 83 5E 83 60	イタチ	イタチ	鼬	local_menu_dictionary	92 61	2	6		ready	
menu_overlay_0000_02FD84	overlay_0000	overlay/overlay_0000.bin	0x2FD84	6	8	82 A0 82 F1 82 D4	あんぶ	あんぶ	暗部	local_menu_dictionary	94 6C 93 46	4	4		ready	
menu_overlay_0000_02FD8C	overlay_0000	overlay/overlay_0000.bin	0x2FD8C	6	8	82 D0 82 AD 82 A2	ひくい	ひくい	低	local_menu_dictionary	90 AE	2	6		ready	
