char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
「	U+300C	0x9040	1x1,1x2	1623	chunk_0001	0	1560	provisional
鸣	U+9E23	0x9041	1x1,1x2	143	chunk_0001	0	137	provisional
人	U+4EBA	0x9042	1x1,1x2	678	chunk_0001	0	620	provisional
！	U+FF01	0x9043	1x1,1x2	2711	chunk_0001	0	1575	provisional
攻	U+653B	0x9044	1x1,1x2	146	chunk_0001	0	101	provisional
击	U+51FB	0x9045	1x1,1x2	188	chunk_0001	0	122	provisional
就	U+5C31	0x9047	1x1,1x2	320	chunk_0001	0	302	provisional
由	U+7531	0x9048	1x1,1x2	24	chunk_0001	0	24	provisional
我	U+6211	0x9049	1x1,1x2	472	chunk_0001	0	440	provisional
来	U+6765	0x904A	1x1,1x2	348	chunk_0001	0	323	provisional
教	U+6559	0x904B	1x1,1x2	17	chunk_0001	0	15	provisional
你	U+4F60	0x904C	1x1,1x2	417	chunk_0001	0	390	provisional
」	U+300D	0x904D	1x1,1x2	1773	chunk_0001	0	1706	provisional
轮	U+8F6E	0x904E	1x1,1x2	24	chunk_0001	0	22	provisional
到	U+5230	0x904F	1x1,1x2	222	chunk_0001	0	209	provisional
自	U+81EA	0x9050	1x1,1x2	99	chunk_0001	0	89	provisional
己	U+5DF1	0x9051	1x1,1x2	51	chunk_0001	0	50	provisional
时	U+65F6	0x9052	1x1,1x2	185	chunk_0001	0	142	provisional
会	U+4F1A	0x9054	1x1,1x2	271	chunk_0001	0	257	provisional
显	U+663E	0x9055	1x1,1x2	7	chunk_0001	0	7	provisional
示	U+793A	0x9056	1x1,1x2	7	chunk_0001	0	7	provisional
指	U+6307	0x9057	1x1,1x2	36	chunk_0001	0	34	provisional
令	U+4EE4	0x9059	1x1,1x2	35	chunk_0001	0	27	provisional
触	U+89E6	0x905A	1x1,1x2	15	chunk_0001	0	11	provisional
摸	U+6478	0x905B	1x1,1x2	16	chunk_0001	0	11	provisional
选	U+9009	0x905C	1x1,1x2	50	chunk_0001	0	39	provisional
择	U+62E9	0x905D	1x1,1x2	42	chunk_0001	0	33	provisional
，	U+FF0C	0x9060	1x1,1x2	1039	chunk_0001	0	887	provisional
再	U+518D	0x9061	1x1,1x2	69	chunk_0001	0	66	provisional
确	U+786E	0x9062	1x1,1x2	32	chunk_0001	0	24	provisional
定	U+5B9A	0x9063	1x1,1x2	165	chunk_0001	0	116	provisional
也	U+4E5F	0x9064	1x1,1x2	217	chunk_0001	0	206	provisional
能	U+80FD	0x9065	1x1,1x2	338	chunk_0001	0	244	provisional
用	U+7528	0x9066	1x1,1x2	321	chunk_0001	0	247	provisional
十	U+5341	0x9068	1x1,1x2	9	chunk_0001	0	8	provisional
字	U+5B57	0x9069	1x1,1x2	42	chunk_0001	0	37	provisional
键	U+952E	0x906B	1x1,1x2	30	chunk_0001	0	23	provisional
按	U+6309	0x906D	1x1,1x2	33	chunk_0001	0	29	provisional
Ａ	U+FF21	0x906F	1x1,1x2	6	chunk_0001	0	4	provisional
后	U+540E	0x9070	1x1,1x2	147	chunk_0001	0	127	provisional
想	U+60F3	0x9071	1x1,1x2	80	chunk_0001	0	78	provisional
的	U+7684	0x9072	1x1,1x2	1498	chunk_0001	0	1181	provisional
敌	U+654C	0x9073	1x1,1x2	264	chunk_0001	0	236	provisional
一	U+4E00	0x9074	1x1,1x2	324	chunk_0001	0	307	provisional
次	U+6B21	0x9075	1x1,1x2	105	chunk_0001	0	94	provisional
这	U+8FD9	0x9076	1x1,1x2	498	chunk_0001	0	466	provisional
里	U+91CC	0x9077	1x1,1x2	218	chunk_0001	0	211	provisional
和	U+548C	0x9078	1x1,1x2	149	chunk_0001	0	138	provisional
操	U+64CD	0x9079	1x1,1x2	23	chunk_0001	0	21	provisional
作	U+4F5C	0x907A	1x1,1x2	82	chunk_0001	0	80	provisional
错	U+9519	0x907B	1x1,1x2	37	chunk_0001	0	35	provisional
左	U+5DE6	0x907C	1x1,1x2	21	chunk_0001	0	21	provisional
上	U+4E0A	0x907D	1x1,1x2	185	chunk_0001	0	180	provisional
角	U+89D2	0x907E	1x1,1x2	51	chunk_0001	0	48	provisional
箭	U+7BAD	0x9080	1x1,1x2	1	chunk_0001	0	1	provisional
头	U+5934	0x9081	1x1,1x2	32	chunk_0001	0	28	provisional
或	U+6216	0x9082	1x1,1x2	38	chunk_0001	0	36	provisional
Ｂ	U+FF22	0x9083	1x1,1x2	4	chunk_0001	0	4	provisional
取	U+53D6	0x9084	1x1,1x2	25	chunk_0001	0	21	provisional
消	U+6D88	0x9086	1x1,1x2	46	chunk_0001	0	44	provisional
总	U+603B	0x9087	1x1,1x2	44	chunk_0001	0	41	provisional
之	U+4E4B	0x9088	1x1,1x2	269	chunk_0001	0	235	provisional
先	U+5148	0x9089	1x1,1x2	58	chunk_0001	0	52	provisional
试	U+8BD5	0x908A	1x1,1x2	42	chunk_0001	0	28	provisional
看	U+770B	0x908B	1x1,1x2	208	chunk_0001	0	177	provisional
吧	U+5427	0x908C	1x1,1x2	340	chunk_0001	0	326	provisional
接	U+63A5	0x908D	1x1,1x2	85	chunk_0001	1	56	provisional
下	U+4E0B	0x908E	1x1,1x2	185	chunk_0001	1	167	provisional
移	U+79FB	0x908F	1x1,1x2	32	chunk_0001	1	27	provisional
