risk_type	severity	id	source_file	offset	source_kind	strategy	encoded_len	raw_len	slot_len	padding_len	details
ui_nul4_fullwidth_padding_preserved	medium	zh_txt_dce51332_000008_0000	msg/menu/battle_result_msg.msg	0x8	text	fullwidth_space_before_original_nul4_terminator	14	30	0	12	UI or Wi-Fi NUL4 row still preserves fullwidth padding before original terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_9f2f522a_000008_0000	msg/wifi/btlres_msg.msg	0x8	text	zero_fixed_slot	73	106	0	33	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_ctrl0000_not_fixed_subslot	high	zh_txt_9f2f522a_00007C_0001	msg/wifi/btlres_msg.msg	0x7C	text	plain_message_text	231	510	0	277	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_9f2f522a_00007C_0001	msg/wifi/btlres_msg.msg	0x7C	text	plain_message_text	231	510	0	277	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_00000C_0000	msg/wifi/connect_msg.msg	0xC	text	plain_message_text	65	140	0	73	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_00000C_0000	msg/wifi/connect_msg.msg	0xC	text	plain_message_text	65	140	0	73	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_00009E_0001	msg/wifi/connect_msg.msg	0x9E	text	plain_message_text	41	88	0	45	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_00009E_0001	msg/wifi/connect_msg.msg	0x9E	text	plain_message_text	41	88	0	45	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0000FC_0002	msg/wifi/connect_msg.msg	0xFC	text	plain_message_text	69	160	0	89	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0000FC_0002	msg/wifi/connect_msg.msg	0xFC	text	plain_message_text	69	160	0	89	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_00019E_0003	msg/wifi/connect_msg.msg	0x19E	text	plain_message_text	164	302	0	136	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_00019E_0003	msg/wifi/connect_msg.msg	0x19E	text	plain_message_text	164	302	0	136	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0002CE_0004	msg/wifi/connect_msg.msg	0x2CE	text	plain_message_text	176	388	0	210	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0002CE_0004	msg/wifi/connect_msg.msg	0x2CE	text	plain_message_text	176	388	0	210	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_000458_0005	msg/wifi/connect_msg.msg	0x458	text	plain_message_text	61	104	0	41	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_000458_0005	msg/wifi/connect_msg.msg	0x458	text	plain_message_text	61	104	0	41	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0004C6_0006	msg/wifi/connect_msg.msg	0x4C6	text	plain_message_text	53	94	0	39	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0004C6_0006	msg/wifi/connect_msg.msg	0x4C6	text	plain_message_text	53	94	0	39	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_000526_0007	msg/wifi/connect_msg.msg	0x526	text	plain_message_text	67	106	0	37	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_000526_0007	msg/wifi/connect_msg.msg	0x526	text	plain_message_text	67	106	0	37	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_000592_0008	msg/wifi/connect_msg.msg	0x592	text	plain_message_text	53	100	0	45	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_000592_0008	msg/wifi/connect_msg.msg	0x592	text	plain_message_text	53	100	0	45	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0005F8_0009	msg/wifi/connect_msg.msg	0x5F8	text	plain_message_text	44	82	0	36	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0005F8_0009	msg/wifi/connect_msg.msg	0x5F8	text	plain_message_text	44	82	0	36	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_03_not_early_terminated	medium	zh_txt_805b124c_00064C_0010	msg/wifi/connect_msg.msg	0x64C	text	plain_message_text	49	96	0	45	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0006AE_0011	msg/wifi/connect_msg.msg	0x6AE	text	plain_message_text	69	150	0	79	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0006AE_0011	msg/wifi/connect_msg.msg	0x6AE	text	plain_message_text	69	150	0	79	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_00074A_0012	msg/wifi/connect_msg.msg	0x74A	text	plain_message_text	53	90	0	35	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_00074A_0012	msg/wifi/connect_msg.msg	0x74A	text	plain_message_text	53	90	0	35	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_03_not_early_terminated	medium	zh_txt_805b124c_0007A6_0013	msg/wifi/connect_msg.msg	0x7A6	text	plain_message_text	26	46	0	18	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0007D6_0014	msg/wifi/connect_msg.msg	0x7D6	text	plain_message_text	48	82	0	32	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0007D6_0014	msg/wifi/connect_msg.msg	0x7D6	text	plain_message_text	48	82	0	32	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_03_not_early_terminated	medium	zh_txt_805b124c_00082A_0015	msg/wifi/connect_msg.msg	0x82A	text	plain_message_text	33	70	0	35	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_000872_0016	msg/wifi/connect_msg.msg	0x872	text	plain_message_text	124	206	0	80	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_000872_0016	msg/wifi/connect_msg.msg	0x872	text	plain_message_text	124	206	0	80	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_000946_0017	msg/wifi/connect_msg.msg	0x946	text	plain_message_text	51	96	0	43	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_000946_0017	msg/wifi/connect_msg.msg	0x946	text	plain_message_text	51	96	0	43	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0009AC_0018	msg/wifi/connect_msg.msg	0x9AC	text	plain_message_text	27	52	0	23	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0009AC_0018	msg/wifi/connect_msg.msg	0x9AC	text	plain_message_text	27	52	0	23	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_0009E6_0019	msg/wifi/connect_msg.msg	0x9E6	text	plain_message_text	45	96	0	49	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_805b124c_0009E6_0019	msg/wifi/connect_msg.msg	0x9E6	text	plain_message_text	45	96	0	49	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_03_not_early_terminated	medium	zh_txt_805b124c_000A48_0020	msg/wifi/connect_msg.msg	0xA48	text	plain_message_text	26	48	0	20	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_805b124c_000A7A_0021	msg/wifi/connect_msg.msg	0xA7A	text	fullwidth_space_before_original_nul4_terminator	152	338	0	182	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_nul4_fullwidth_padding_preserved	medium	zh_txt_805b124c_000A7A_0021	msg/wifi/connect_msg.msg	0xA7A	text	fullwidth_space_before_original_nul4_terminator	152	338	0	182	UI or Wi-Fi NUL4 row still preserves fullwidth padding before original terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_00000C_0000	msg/wifi/error_msg.msg	0xC	text	plain_message_text	92	206	0	112	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_00000C_0000	msg/wifi/error_msg.msg	0xC	text	plain_message_text	92	206	0	112	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_0000DC_0001	msg/wifi/error_msg.msg	0xDC	text	plain_message_text	39	122	0	81	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_0000DC_0001	msg/wifi/error_msg.msg	0xDC	text	plain_message_text	39	122	0	81	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_000158_0002	msg/wifi/error_msg.msg	0x158	text	plain_message_text	73	136	0	61	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_000158_0002	msg/wifi/error_msg.msg	0x158	text	plain_message_text	73	136	0	61	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_0001E2_0003	msg/wifi/error_msg.msg	0x1E2	text	plain_message_text	96	172	0	74	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_0001E2_0003	msg/wifi/error_msg.msg	0x1E2	text	plain_message_text	96	172	0	74	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_000290_0004	msg/wifi/error_msg.msg	0x290	text	plain_message_text	68	124	0	54	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_000290_0004	msg/wifi/error_msg.msg	0x290	text	plain_message_text	68	124	0	54	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_000312_0005	msg/wifi/error_msg.msg	0x312	text	plain_message_text	57	114	0	55	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_000312_0005	msg/wifi/error_msg.msg	0x312	text	plain_message_text	57	114	0	55	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_00038A_0006	msg/wifi/error_msg.msg	0x38A	text	plain_message_text	83	170	0	85	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_00038A_0006	msg/wifi/error_msg.msg	0x38A	text	plain_message_text	83	170	0	85	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_000436_0007	msg/wifi/error_msg.msg	0x436	text	plain_message_text	50	106	0	54	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_000436_0007	msg/wifi/error_msg.msg	0x436	text	plain_message_text	50	106	0	54	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_0004A2_0008	msg/wifi/error_msg.msg	0x4A2	text	plain_message_text	114	230	0	114	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_0004A2_0008	msg/wifi/error_msg.msg	0x4A2	text	plain_message_text	114	230	0	114	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_28e72e7e_00058A_0009	msg/wifi/error_msg.msg	0x58A	text	plain_message_text	103	210	0	105	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_00058A_0009	msg/wifi/error_msg.msg	0x58A	text	plain_message_text	103	210	0	105	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_00065E_0010	msg/wifi/error_msg.msg	0x65E	text	plain_message_text	16	34	0	16	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_03_not_early_terminated	medium	zh_txt_28e72e7e_000682_0011	msg/wifi/error_msg.msg	0x682	text	plain_message_text	38	76	0	36	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_652fd524_000008_0000	msg/wifi/rule_msg.msg	0x8	text	zero_fixed_slot	100	144	0	44	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_ctrl0000_not_fixed_subslot	high	zh_txt_652fd524_000124_0010	msg/wifi/rule_msg.msg	0x124	text	fullwidth_space_before_original_nul4_terminator	26	40	0	10	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_nul4_fullwidth_padding_preserved	medium	zh_txt_652fd524_000124_0010	msg/wifi/rule_msg.msg	0x124	text	fullwidth_space_before_original_nul4_terminator	26	40	0	10	UI or Wi-Fi NUL4 row still preserves fullwidth padding before original terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_341cd500_000008_0000	msg/wifi/taisen_msg.msg	0x8	text	fullwidth_space_before_original_nul4_terminator	740	1332	0	588	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_nul4_fullwidth_padding_preserved	medium	zh_txt_341cd500_000008_0000	msg/wifi/taisen_msg.msg	0x8	text	fullwidth_space_before_original_nul4_terminator	740	1332	0	588	UI or Wi-Fi NUL4 row still preserves fullwidth padding before original terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000008_0000	msg/wifi/vs_msg.msg	0x8	text	plain_message_text	539	1110	0	569	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_000008_0000	msg/wifi/vs_msg.msg	0x8	text	plain_message_text	539	1110	0	569	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000460_0001	msg/wifi/vs_msg.msg	0x460	text	plain_message_text	84	134	0	48	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_000460_0001	msg/wifi/vs_msg.msg	0x460	text	plain_message_text	84	134	0	48	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_0004E8_0002	msg/wifi/vs_msg.msg	0x4E8	text	plain_message_text	47	102	0	53	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_0004E8_0002	msg/wifi/vs_msg.msg	0x4E8	text	plain_message_text	47	102	0	53	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000550_0003	msg/wifi/vs_msg.msg	0x550	text	plain_message_text	132	224	0	90	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_000550_0003	msg/wifi/vs_msg.msg	0x550	text	plain_message_text	132	224	0	90	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000632_0004	msg/wifi/vs_msg.msg	0x632	text	plain_message_text	43	96	0	51	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
