id	source_file	offset	risk_type	strategy	positions	details
zh_txt_0d5c73a4_000484_0016	msg/fld/011.m	0x484	multi_0300	early_03_zero_fill_after_terminator	48,96	between_first_last=mixed; len=46
zh_txt_0d5c73a4_00058A_0019	msg/fld/011.m	0x58A	multi_0300	early_03_zero_fill_after_terminator	46,90	between_first_last=mixed; len=42
zh_txt_dc122c8a_000BD4_0040	msg/fld/029.m	0xBD4	fullwidth_padding_before_final_0300	fullwidth_space_with_original_control_offsets	84	fw_padding_len=18; source_len=86; evt=False
zh_txt_31fd479b_001354_0062	msg/fld/030.m	0x1354	multi_0300	early_03_zero_fill_after_terminator	70,108	between_first_last=mixed; len=36
zh_txt_2ef7aa25_000010_0000	msg/fld/evt/000.m	0x10	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	80	fw_padding_len=36; source_len=82; evt=True
zh_txt_2ef7aa25_00006C_0001	msg/fld/evt/000.m	0x6C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	70	fw_padding_len=22; source_len=72; evt=True
zh_txt_2ef7aa25_0000BE_0002	msg/fld/evt/000.m	0xBE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	20	fw_padding_len=2; source_len=22; evt=True
zh_txt_2ef7aa25_0000E8_0003	msg/fld/evt/000.m	0xE8	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	34	fw_padding_len=4; source_len=36; evt=True
zh_txt_2ef7aa25_000118_0004	msg/fld/evt/000.m	0x118	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	48	fw_padding_len=22; source_len=50; evt=True
zh_txt_2ef7aa25_000154_0005	msg/fld/evt/000.m	0x154	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	90	fw_padding_len=34; source_len=92; evt=True
zh_txt_2ef7aa25_0001B4_0006	msg/fld/evt/000.m	0x1B4	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	30	fw_padding_len=10; source_len=32; evt=True
zh_txt_2ef7aa25_0001DE_0007	msg/fld/evt/000.m	0x1DE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	58	fw_padding_len=28; source_len=60; evt=True
zh_txt_2ef7aa25_000222_0008	msg/fld/evt/000.m	0x222	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	70	fw_padding_len=28; source_len=72; evt=True
zh_txt_2ef7aa25_000292_0010	msg/fld/evt/000.m	0x292	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	60	fw_padding_len=16; source_len=62; evt=True
zh_txt_2ef7aa25_0002DA_0011	msg/fld/evt/000.m	0x2DA	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	54	fw_padding_len=22; source_len=56; evt=True
zh_txt_2ef7aa25_00031A_0012	msg/fld/evt/000.m	0x31A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	50	fw_padding_len=22; source_len=52; evt=True
zh_txt_2ef7aa25_000358_0013	msg/fld/evt/000.m	0x358	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=12; source_len=46; evt=True
zh_txt_2ef7aa25_000392_0014	msg/fld/evt/000.m	0x392	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	74	fw_padding_len=32; source_len=76; evt=True
zh_txt_2ef7aa25_0003E6_0015	msg/fld/evt/000.m	0x3E6	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	18	fw_padding_len=6; source_len=20; evt=True
zh_txt_2ef7aa25_000406_0016	msg/fld/evt/000.m	0x406	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	78	fw_padding_len=30; source_len=80; evt=True
zh_txt_2ef7aa25_000460_0017	msg/fld/evt/000.m	0x460	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=10; source_len=34; evt=True
zh_txt_2ef7aa25_00048E_0018	msg/fld/evt/000.m	0x48E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	66	fw_padding_len=26; source_len=68; evt=True
zh_txt_2ef7aa25_0004DE_0019	msg/fld/evt/000.m	0x4DE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=8; source_len=34; evt=True
zh_txt_2ef7aa25_00050C_0020	msg/fld/evt/000.m	0x50C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	94	fw_padding_len=38; source_len=96; evt=True
zh_txt_2ef7aa25_000576_0021	msg/fld/evt/000.m	0x576	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	28	fw_padding_len=4; source_len=30; evt=True
zh_txt_2ef7aa25_00059E_0022	msg/fld/evt/000.m	0x59E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	106	fw_padding_len=50; source_len=108; evt=True
zh_txt_2ef7aa25_00060C_0023	msg/fld/evt/000.m	0x60C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	70	fw_padding_len=34; source_len=72; evt=True
zh_txt_2ef7aa25_00065E_0024	msg/fld/evt/000.m	0x65E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	90	fw_padding_len=36; source_len=92; evt=True
zh_txt_2ef7aa25_0006C6_0025	msg/fld/evt/000.m	0x6C6	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	80	fw_padding_len=32; source_len=82; evt=True
zh_txt_2ef7aa25_000724_0026	msg/fld/evt/000.m	0x724	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	40	fw_padding_len=16; source_len=42; evt=True
zh_txt_2ef7aa25_000758_0027	msg/fld/evt/000.m	0x758	fullwidth_padding_before_final_0300	fullwidth_space_with_original_control_offsets	116	fw_padding_len=26; source_len=118; evt=True
zh_txt_2ef7aa25_0007DA_0028	msg/fld/evt/000.m	0x7DA	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	46	fw_padding_len=14; source_len=48; evt=True
zh_txt_2ef7aa25_000814_0029	msg/fld/evt/000.m	0x814	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	28	fw_padding_len=6; source_len=30; evt=True
zh_txt_2ef7aa25_00083E_0030	msg/fld/evt/000.m	0x83E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=8; source_len=34; evt=True
zh_txt_2ef7aa25_00086C_0031	msg/fld/evt/000.m	0x86C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	60	fw_padding_len=24; source_len=62; evt=True
zh_txt_2ef7aa25_0008B4_0032	msg/fld/evt/000.m	0x8B4	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	84	fw_padding_len=40; source_len=86; evt=True
zh_txt_2ef7aa25_000916_0033	msg/fld/evt/000.m	0x916	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	62	fw_padding_len=24; source_len=64; evt=True
zh_txt_2ef7aa25_000960_0034	msg/fld/evt/000.m	0x960	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	26	fw_padding_len=2; source_len=28; evt=True
zh_txt_2ef7aa25_000988_0035	msg/fld/evt/000.m	0x988	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	28	fw_padding_len=6; source_len=30; evt=True
zh_txt_6b929156_00001A_0000	msg/fld/evt/001.m	0x1A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	104	fw_padding_len=44; source_len=106; evt=True
zh_txt_6b929156_000092_0001	msg/fld/evt/001.m	0x92	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=14; source_len=46; evt=True
zh_txt_6b929156_0000C2_0002	msg/fld/evt/001.m	0xC2	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	66	fw_padding_len=26; source_len=68; evt=True
zh_txt_6b929156_00011A_0003	msg/fld/evt/001.m	0x11A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	64	fw_padding_len=20; source_len=66; evt=True
zh_txt_6b929156_000170_0004	msg/fld/evt/001.m	0x170	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	50	fw_padding_len=22; source_len=52; evt=True
zh_txt_6b929156_0001A6_0005	msg/fld/evt/001.m	0x1A6	fullwidth_padding_before_final_0300	fullwidth_space_with_original_control_offsets	60	fw_padding_len=10; source_len=62; evt=True
zh_txt_6b929156_0001FA_0006	msg/fld/evt/001.m	0x1FA	fullwidth_padding_before_final_0300	fullwidth_space_with_original_control_offsets	78	fw_padding_len=28; source_len=80; evt=True
zh_txt_6b929156_000260_0007	msg/fld/evt/001.m	0x260	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	66	fw_padding_len=24; source_len=68; evt=True
zh_txt_6b929156_0002B8_0008	msg/fld/evt/001.m	0x2B8	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	118	fw_padding_len=40; source_len=120; evt=True
zh_txt_6b929156_000346_0009	msg/fld/evt/001.m	0x346	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	94	fw_padding_len=32; source_len=96; evt=True
zh_txt_6b929156_0003BC_0010	msg/fld/evt/001.m	0x3BC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	58	fw_padding_len=26; source_len=60; evt=True
zh_txt_6b929156_000402_0011	msg/fld/evt/001.m	0x402	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	30	fw_padding_len=8; source_len=32; evt=True
zh_txt_6b929156_000438_0012	msg/fld/evt/001.m	0x438	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	64	fw_padding_len=26; source_len=66; evt=True
zh_txt_6b929156_000486_0013	msg/fld/evt/001.m	0x486	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	64	fw_padding_len=24; source_len=66; evt=True
zh_txt_6b929156_0004D6_0014	msg/fld/evt/001.m	0x4D6	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	24	fw_padding_len=6; source_len=26; evt=True
zh_txt_6b929156_0004FC_0015	msg/fld/evt/001.m	0x4FC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=12; source_len=34; evt=True
zh_txt_6b929156_000534_0016	msg/fld/evt/001.m	0x534	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	26	fw_padding_len=14; source_len=28; evt=True
zh_txt_6b929156_00055A_0017	msg/fld/evt/001.m	0x55A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=28; source_len=74; evt=True
zh_txt_6b929156_0005A6_0018	msg/fld/evt/001.m	0x5A6	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	42	fw_padding_len=18; source_len=44; evt=True
zh_txt_6b929156_0005E8_0019	msg/fld/evt/001.m	0x5E8	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=14; source_len=40; evt=True
zh_txt_6b929156_00061C_0020	msg/fld/evt/001.m	0x61C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	62	fw_padding_len=24; source_len=64; evt=True
zh_txt_6b929156_000672_0021	msg/fld/evt/001.m	0x672	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	16	fw_padding_len=6; source_len=18; evt=True
zh_txt_6b929156_00069A_0022	msg/fld/evt/001.m	0x69A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	40	fw_padding_len=16; source_len=42; evt=True
zh_txt_6b929156_0006CE_0023	msg/fld/evt/001.m	0x6CE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=32; source_len=74; evt=True
zh_txt_6b929156_000724_0024	msg/fld/evt/001.m	0x724	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	22	fw_padding_len=4; source_len=24; evt=True
zh_txt_6b929156_000750_0025	msg/fld/evt/001.m	0x750	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	42	fw_padding_len=14; source_len=44; evt=True
zh_txt_6b929156_000786_0026	msg/fld/evt/001.m	0x786	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=14; source_len=46; evt=True
zh_txt_6b929156_0007BC_0027	msg/fld/evt/001.m	0x7BC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=24; source_len=46; evt=True
zh_txt_6b929156_0007F0_0028	msg/fld/evt/001.m	0x7F0	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	48	fw_padding_len=10; source_len=50; evt=True
zh_txt_6b929156_000838_0029	msg/fld/evt/001.m	0x838	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	78	fw_padding_len=30; source_len=80; evt=True
zh_txt_6b929156_00089C_0030	msg/fld/evt/001.m	0x89C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	36	fw_padding_len=20; source_len=38; evt=True
zh_txt_6b929156_0008CE_0031	msg/fld/evt/001.m	0x8CE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=10; source_len=40; evt=True
zh_txt_6b929156_00090C_0032	msg/fld/evt/001.m	0x90C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	12	fw_padding_len=2; source_len=14; evt=True
zh_txt_6b929156_000930_0033	msg/fld/evt/001.m	0x930	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	70	fw_padding_len=30; source_len=72; evt=True
zh_txt_6b929156_00098E_0034	msg/fld/evt/001.m	0x98E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	60	fw_padding_len=20; source_len=62; evt=True
zh_txt_6b929156_0009E2_0035	msg/fld/evt/001.m	0x9E2	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	48	fw_padding_len=24; source_len=50; evt=True
zh_txt_f8a9b7cd_00001A_0000	msg/fld/evt/002.m	0x1A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=18; source_len=40; evt=True
zh_txt_f8a9b7cd_00004C_0001	msg/fld/evt/002.m	0x4C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	48	fw_padding_len=14; source_len=50; evt=True
zh_txt_f8a9b7cd_000094_0002	msg/fld/evt/002.m	0x94	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	34	fw_padding_len=16; source_len=36; evt=True
zh_txt_f8a9b7cd_0000C4_0003	msg/fld/evt/002.m	0xC4	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	58	fw_padding_len=12; source_len=60; evt=True
zh_txt_f8a9b7cd_000106_0004	msg/fld/evt/002.m	0x106	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	68	fw_padding_len=30; source_len=70; evt=True
zh_txt_f8a9b7cd_00014E_0005	msg/fld/evt/002.m	0x14E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	64	fw_padding_len=28; source_len=66; evt=True
zh_txt_f8a9b7cd_00019C_0006	msg/fld/evt/002.m	0x19C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	76	fw_padding_len=36; source_len=78; evt=True
zh_txt_f8a9b7cd_000200_0007	msg/fld/evt/002.m	0x200	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=16; source_len=34; evt=True
zh_txt_f8a9b7cd_00022C_0008	msg/fld/evt/002.m	0x22C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	36	fw_padding_len=12; source_len=38; evt=True
zh_txt_f8a9b7cd_000266_0009	msg/fld/evt/002.m	0x266	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=20; source_len=46; evt=True
zh_txt_f8a9b7cd_00029E_0010	msg/fld/evt/002.m	0x29E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=14; source_len=46; evt=True
zh_txt_f8a9b7cd_0002CE_0011	msg/fld/evt/002.m	0x2CE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=14; source_len=34; evt=True
zh_txt_f8a9b7cd_0002F2_0012	msg/fld/evt/002.m	0x2F2	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=30; source_len=74; evt=True
zh_txt_f8a9b7cd_000346_0013	msg/fld/evt/002.m	0x346	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	96	fw_padding_len=30; source_len=98; evt=True
zh_txt_f8a9b7cd_0003BC_0014	msg/fld/evt/002.m	0x3BC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=18; source_len=46; evt=True
zh_txt_f8a9b7cd_000404_0015	msg/fld/evt/002.m	0x404	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	46	fw_padding_len=20; source_len=48; evt=True
zh_txt_f8a9b7cd_000436_0016	msg/fld/evt/002.m	0x436	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=32; source_len=74; evt=True
zh_txt_f8a9b7cd_000482_0017	msg/fld/evt/002.m	0x482	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=28; source_len=74; evt=True
zh_txt_f8a9b7cd_0004CE_0018	msg/fld/evt/002.m	0x4CE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	98	fw_padding_len=28; source_len=100; evt=True
zh_txt_f8a9b7cd_000534_0019	msg/fld/evt/002.m	0x534	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	82	fw_padding_len=30; source_len=84; evt=True
zh_txt_f8a9b7cd_00058A_0020	msg/fld/evt/002.m	0x58A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=20; source_len=46; evt=True
zh_txt_f8a9b7cd_0005BA_0021	msg/fld/evt/002.m	0x5BA	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=20; source_len=40; evt=True
zh_txt_f8a9b7cd_0005E4_0022	msg/fld/evt/002.m	0x5E4	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	116	fw_padding_len=44; source_len=118; evt=True
zh_txt_f8a9b7cd_00066E_0023	msg/fld/evt/002.m	0x66E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	22	fw_padding_len=8; source_len=24; evt=True
zh_txt_f8a9b7cd_000688_0024	msg/fld/evt/002.m	0x688	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	56	fw_padding_len=26; source_len=58; evt=True
