jp_term	zh_cn_term	category	notes	source_ids
ナルト	鸣人	character	Mainland Naruto convention	
サスケ	佐助	character	Mainland Naruto convention	
サクラ	小樱	character	Mainland Naruto convention	
カカシ	卡卡西	character	Mainland Naruto convention	
木ノ葉	木叶	place	Mainland Naruto convention	
チャクラ	查克拉	term	Mainland Naruto convention	
忍術	忍术	term	Simplified Chinese convention	
術	术	term	Simplified Chinese convention	
口よせ	通灵	term	Use for Kuchiyose/summoning terms	
影分身	影分身	term	Mainland Naruto convention	
写輪眼	写轮眼	term	Mainland Naruto convention	
螺旋丸	螺旋丸	term	Mainland Naruto convention	
火遁	火遁	term	Mainland Naruto convention	
手裏剣	手里剑	item	Mainland Naruto convention	
こうげき	攻击	ui	Battle command	
いどう	移动	ui	Battle command	
コマンド	指令	ui	UI term	
バトル	战斗	ui	UI term	
ターン	回合	ui	Battle term	
ダメージ	伤害	term	Battle term	
しのび札	忍识札	item	Local card item term used in script text	
忍しき札	忍识札	item	Variant source spelling for same card item	
短冊街	短册街	place	Place name; ignore kana reading in source	
水晶の渓谷	水晶溪谷	place	Place name; ignore kana reading in source	
砂隠れ	砂隐	place	Mainland Naruto convention	
口よせペット	通灵宠物	term	Summon pet field ability term	
ガマ竜	蛤蟆龙	character	Mainland Naruto convention for Gamatatsu	
ガマ吉	蛤蟆吉	character	Mainland Naruto convention for Gamakichi	
自来也	自来也	character	Mainland Naruto convention	
封印	封印	term	Mainland Naruto convention	
霊獣	灵兽	term	Story term	
邪気	邪气	term	Story term	
破邪の谷	破邪之谷	place	Story place name; ignore kana reading in source	
しゅんしん巻物	瞬身卷轴	item	Field teleport scroll item	
赤丸	赤丸	character	Mainland Naruto convention	
兵糧丸	兵粮丸	item	Mainland Naruto convention	
ナズナ	娜兹娜	character	Story character transliteration	
ヒノキ	桧木	character	Story character name	
かがみ	镜子	item	Story key item	
うずまきナルト	漩涡鸣人	character	Mainland Naruto full-name convention	
春野サクラ	春野樱	character	Mainland Naruto full-name convention	
はたけカカシ	旗木卡卡西	character	Mainland Naruto full-name convention	
綱手	纲手	character	Mainland Naruto convention	
担当上忍	担当上忍	term	Naruto rank/role term	
木ノ葉マーク	木叶标记	ui	Save/recovery field marker	
セレクトボタン	SELECT键	ui	Button name; keep Latin label for screen control	
セーブ	保存	ui	Save command	
スタミナ	体力	term	Field/battle resource term
カナメ石	要石	object	chunk_0163-0172	灵兽封印相关道具。
破邪のかがみ	破邪镜	object	chunk_0163-0172	用于削弱邪气、封印灵兽的镜子。
にんりょく	忍力	system	chunk_0163-0172	角色/战斗能力用语。
バトル口よせ	战斗通灵	system	chunk_0163-0172	教程中的战斗通灵术语。
奈良シカマル	奈良鹿丸	character	chunk_0163-0172	木叶角色名。
山中いの	山中井野	character	chunk_0163-0172	木叶角色名。
秋道チョウジ	秋道丁次	character	chunk_0163-0172	木叶角色名。
ゲンショウ	玄翔	character	chunk_0163-0172	剧情人物名。
ロッカク	六角	character	chunk_0163-0172	剧情人物名。
肉弾戦車	肉弹战车	jutsu	chunk_0163-0172	丁次忍术。
影真似の術	影子模仿术	jutsu	chunk_0163-0172	鹿丸忍术。
フォーマンセル	四人小队	system	chunk_0163-0172	小队编制教程术语。
せんぱつメンバー	首发成员	system	chunk_0163-0172	队伍编成教程术语。
ひかえメンバー	后备成员	system	chunk_0163-0172	队伍编成教程术语。
チームワーク	团队合作	system	chunk_0163-0172	队伍协作教程术语。
硫黄谷	硫黄谷	place	chunk_0163-0172	地图地名。
木ノ葉の森	木叶森林	place	chunk_0163-0172	地图地名。
こうそくいどうマップ	高速移动地图	system	chunk_0163-0172	地图教程术语。
白	白	character	chunk_0173-0184	波之国幻影角色。
桃地再不斬	桃地再不斩	character	chunk_0173-0184	雾隐鬼人，再不斩全名。
波の国	波之国	place	chunk_0173-0184	剧情地点。
キバ	牙	character	chunk_0173-0184	木叶角色，犬冢牙简称。
シノ	志乃	character	chunk_0173-0184	木叶角色，油女志乃简称。
ヒナタ	雏田	character	chunk_0173-0184	木叶角色，日向雏田简称。
カツユ	蛞蝓	summon	chunk_0173-0184	纲手通灵兽。
ミニカツユ	小蛞蝓	summon	chunk_0173-0184	场地通灵宠物。
どくのぬま	毒沼	system	chunk_0173-0184	场地伤害地形。
四肢操身の術	四肢操身之术	jutsu	chunk_0173-0184	敌方操纵术。
忍法 炎虎爆殺	忍法 炎虎爆杀	jutsu	chunk_0173-0184	敌方忍术。
チャクラのなわ	查克拉绳索	system	chunk_0173-0184	束缚雏田的术式表现。
白眼	白眼	jutsu	chunk_0185-0196	日向一族瞳术。
トントン	豚豚	summon	chunk_0185-0196	纲手的小猪通灵宠物。
口よせペット・トントン	通灵宠物·豚豚	system	chunk_0185-0196	通灵宠物习得提示。
砂隠れの里	砂隐村	place	chunk_0185-0196	风之国忍村。
テマリ	手鞠	character	chunk_0185-0196	砂隐角色。
ネジ	宁次	character	chunk_0185-0196	木叶角色，日向宁次简称。
リー	小李	character	chunk_0185-0196	木叶角色，洛克李简称。
死のさばく	死亡沙漠	place	chunk_0185-0196	砂隐附近区域。
八卦掌回天	八卦掌回天	jutsu	chunk_0185-0196	宁次防御术。
中忍しけん	中忍考试	event	chunk_0185-0196	剧情地点/回忆场景。
本選会場	本选会场	place	chunk_0185-0196	中忍考试决赛场地。
